,sname,dname,cname,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
3,Abraham Lincoln High,San Jose Unified,Santa Clara,463,53,23.0,22.0,22.0,23.0,34.0,64.15
4,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226,19,21.0,20.0,23.0,22.0,11.0,57.89
5,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65,33,15.0,15.0,17.0,16.0,3.0,9.09
6,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126,16,18.0,18.0,18.0,17.0,5.0,31.25
13,Academy of the Canyons,William S. Hart Union High,Los Angeles,104,36,29.0,29.0,25.0,25.0,34.0,94.44
16,Acalanes High,Acalanes Union High,Contra Costa,353,99,29.0,29.0,28.0,27.0,93.0,93.94
18,ACE Charter High,East Side Union High,Santa Clara,41,34,14.0,14.0,15.0,15.0,1.0,2.94
19,Adelanto High,Victor Valley Union High,San Bernardino,430,28,19.0,17.0,18.0,18.0,8.0,28.57
20,Adolfo Camarillo High,Oxnard Union High,Ventura,507,91,23.0,23.0,23.0,22.0,55.0,60.44
21,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458,138,25.0,24.0,24.0,24.0,93.0,67.39
22,Agoura High,Las Virgenes Unified,Los Angeles,459,140,27.0,26.0,25.0,24.0,114.0,81.43
23,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382,112,14.0,14.0,16.0,15.0,7.0,6.25
25,Alameda High,Alameda Unified,Alameda,463,93,28.0,27.0,27.0,26.0,85.0,91.4
27,Albany High,Albany City Unified,Alameda,296,58,28.0,27.0,27.0,26.0,51.0,87.93
29,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585,139,23.0,23.0,21.0,21.0,75.0,53.96
30,Alhambra High,Alhambra Unified,Los Angeles,648,93,24.0,25.0,24.0,23.0,69.0,74.19
31,Alhambra Senior High,Martinez Unified,Contra Costa,284,40,25.0,23.0,25.0,23.0,30.0,75.0
32,Alisal High,Salinas Union High,Monterey,651,206,18.0,17.0,18.0,18.0,47.0,22.82
33,Aliso Niguel High,Capistrano Unified,Orange,749,286,26.0,27.0,27.0,26.0,254.0,88.81
34,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61,77,17.0,16.0,17.0,18.0,12.0,15.58
35,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123,155,15.0,14.0,16.0,16.0,13.0,8.39
36,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141,70,18.0,20.0,19.0,18.0,19.0,27.14
37,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101,80,16.0,16.0,18.0,17.0,14.0,17.5
39,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138,162,16.0,16.0,17.0,17.0,24.0,14.81
40,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128,155,18.0,18.0,18.0,18.0,40.0,25.81
41,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141,157,19.0,18.0,19.0,19.0,48.0,30.57
42,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114,139,17.0,16.0,16.0,16.0,19.0,13.67
43,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73,86,15.0,13.0,16.0,16.0,7.0,8.14
44,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130,148,15.0,14.0,16.0,16.0,16.0,10.81
45,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131,164,16.0,14.0,17.0,16.0,18.0,10.98
46,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105,143,15.0,13.0,15.0,15.0,4.0,2.8
47,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131,147,16.0,14.0,16.0,16.0,12.0,8.16
49,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59,110,17.0,16.0,18.0,17.0,24.0,21.82
50,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89,89,15.0,14.0,16.0,16.0,10.0,11.24
53,Alta Loma High,Chaffey Joint Union High,San Bernardino,634,56,23.0,22.0,22.0,22.0,34.0,60.71
57,Amador High,Amador County Unified,Amador,154,17,25.0,25.0,25.0,24.0,16.0,94.12
58,Amador Valley High,Pleasanton Unified,Alameda,654,280,29.0,29.0,28.0,28.0,258.0,92.14
