,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
2,Belmont Senior High,Los Angeles Unified,Los Angeles,206,102,31.0,30.39,14.0,13.73,14.0,13.73
3,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,113,54.0,47.79,18.0,15.93,18.0,15.93
5,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,106,68.0,64.15,36.0,33.96,36.0,33.96
6,Mission Viejo High,Saddleback Valley Unified,Orange,562,190,161.0,84.74,138.0,72.63,132.0,69.47
9,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,68,17.0,25.0,6.0,8.82,6.0,8.82
10,Corona High,Corona-Norco Unified,Riverside,581,204,148.0,72.55,88.0,43.14,82.0,40.2
13,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,68,45.0,66.18,30.0,44.12,29.0,42.65
15,Palo Verde High,Palo Verde Unified,Riverside,174,38,27.0,71.05,13.0,34.21,12.0,31.58
17,Apple Valley High,Apple Valley Unified,San Bernardino,551,186,150.0,80.65,70.0,37.63,67.0,36.02
18,The O'Farrell Charter,San Diego Unified,San Diego,125,64,44.0,68.75,33.0,51.56,28.0,43.75
20,Clovis East High,Clovis Unified,Fresno,584,237,161.0,67.93,103.0,43.46,94.0,39.66
22,Cesar Chavez High,Stockton Unified,San Joaquin,521,192,96.0,50.0,50.0,26.04,39.0,20.31
23,University High School Charter,Los Angeles Unified,Los Angeles,336,193,121.0,62.69,82.0,42.49,76.0,39.38
24,City of Angels,Los Angeles Unified,Los Angeles,292,23,14.0,60.87,7.0,30.43,7.0,30.43
25,New West Charter,SBE - New West Charter,Los Angeles,90,47,43.0,91.49,33.0,70.21,32.0,68.09
26,Mark Keppel High,Alhambra Unified,Los Angeles,579,269,241.0,89.59,230.0,85.5,215.0,79.93
27,Nevada Union High,Nevada Joint Union High,Nevada,353,89,78.0,87.64,64.0,71.91,62.0,69.66
28,University High,Irvine Unified,Orange,633,205,189.0,92.2,185.0,90.24,179.0,87.32
29,Westmoor High,Jefferson Union High,San Mateo,395,344,213.0,61.92,169.0,49.13,153.0,44.48
30,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,249,117.0,46.99,60.0,24.1,58.0,23.29
32,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,166,112.0,67.47,50.0,30.12,46.0,27.71
